name,city,region
"<a href=""/wiki/Rifat_Dedja"" title=""Rifat Dedja"">Rifat Dedja</a>",tirana,albania
Rexhep Guma,tirana,albania
"<a href=""/wiki/Sabri_Pilkati"" title=""Sabri Pilkati"">Sabri Pilkati</a>",tirana,albania
"<a href=""/wiki/Rifat_Dedja"" title=""Rifat Dedja"">Rifat Dedja</a>",tirana,albania
"<a href=""/wiki/Sabri_Pilkati"" title=""Sabri Pilkati"">Sabri Pilkati</a>",tirana,albania
"<a href=""/wiki/Abdyl_K%C3%ABllezi"" title=""Abdyl K&#xEB;llezi"">Abdyl K&#xEB;llezi</a>",tirana,albania
"<a href=""/wiki/Myqerem_Fuga"" title=""Myqerem Fuga"">Myqerem Fuga</a>",tirana,albania
"<a href=""/wiki/Ndue_Marashi"" title=""Ndue Marashi"">Ndue Marashi</a>",tirana,albania
"<a href=""/wiki/Nesip_Ibrahimi"" title=""Nesip Ibrahimi"">Nesip Ibrahimi</a>",tirana,albania
Pjet&#xEB;r Kosta,tirana,albania
Jashar Menzelxhiu,tirana,albania
"<a href=""/wiki/Llambi_Gegprifti"" title=""Llambi Gegprifti"">Llambi Gegprifti</a>",tirana,albania
"<a href=""/wiki/Leandro_Zoto"" title=""Leandro Zoto"">Leandro Zoto</a>",tirana,albania
"<a href=""/wiki/Llambi_Gegprifti"" title=""Llambi Gegprifti"">Llambi Gegprifti</a>",tirana,albania
"<a href=""/wiki/Tomor_Malasi"" title=""Tomor Malasi"">Tomor Malasi</a>",tirana,albania
"<a href=""/wiki/Sali_Kelmendi"" title=""Sali Kelmendi"">Sali Kelmendi</a>",tirana,albania
"<a href=""/wiki/Albert_Brojka"" title=""Albert Brojka"">Albert Brojka</a>",tirana,albania
"<a href=""/wiki/Edi_Rama"" title=""Edi Rama"">Edi Rama</a>",tirana,albania
"<a href=""/wiki/Lulzim_Basha"" title=""Lulzim Basha"">Lulzim Basha</a>",tirana,albania
